Pond,Crop ID,Hectares,Stocking Date,Stocking,SD(psm),Sampling Date,DOC,Week,ABW,Weekly Inc,AWG(g),AWG 1,AWG 2,AWG 3,FCR,TCF,Weekly TCF(kg),BM,BM 1,ABW 1,BM 2,ABW 2,BM 3,ABW 3,Survival,Survival  Rate,status,spanningYear,cycle
D3,F1D03C22025.23,1.5,20-02-2025,630295,42,02-07-2025,132,18.9,22.73,0.1,1.21,1.11,2.2,1.4,1.54,13670.0,1225.0,8882.5,9664.07,24.7,10445.63,26.7,11227.2,28.7,390782.9,62%,HARVESTED,2024-2025,2.0
D3,F1D03C12024.22,1.5,27-09-2024,634260,42,08-01-2025,103,14.7,21.22,1.71,1.44,0.83,2.56,1.55,1.47,14264.0,1594.0,9690.5,10603.81,23.2,11517.15,25.2,12430.48,27.2,456667.2,72%,HARVESTED,2024-2025,1.0
D3,F1D03C12025.24,1.4375,02-10-2025,789546,55,29-10-2025,27,3.9,3.92,1.52,1.02,2.09,0.06,0.35,0.54,1489.0,555.0,2754.6,4159.96,5.9,5565.35,7.9,6970.75,9.9,702695.94,89%,ACTIVE,2025-2026,1.0
D2,F1D02C22025.23,1.5,20-02-2025,628575,42,28-05-2025,97,13.9,23.23,1.9,1.68,2.3,1.88,2.18,1.43,12705.0,1412.0,8907.1,9673.96,25.2,10440.82,27.2,11207.68,29.2,383430.75,61%,HARVESTED,2024-2025,2.0
D2,F1D02C12024.22,1.5,27-09-2024,631240,42,25-12-2024,89,12.7,20.27,3.01,1.59,1.41,2.31,1.66,1.21,10992.0,1461.0,9084.6,9980.98,22.3,10877.34,24.3,11773.7,26.3,448180.4,71%,HARVESTED,2024-2025,1.0
D2,F1D02C12025.24,1.4375,02-10-2025,789165,55,29-10-2025,27,3.9,3.02,0.92,0.78,1.79,0.06,0.35,0.71,1489.0,555.0,2097.3,3486.21,5.0,4875.14,7.0,6264.07,9.0,694465.2,88%,ACTIVE,2025-2026,1.0
D1,F1D01C22025.23,1.5,19-02-2025,628511,42,28-05-2025,98,14.0,21.9,2.0,1.56,2.72,1.4,1.9,2.27,12821.0,1287.0,5643.4,6158.78,23.9,6674.16,25.9,7189.54,27.9,257689.51,41%,HARVESTED,2024-2025,2.0
D1,F1D01C12024.22,1.5,27-09-2024,634140,42,29-01-2025,124,17.7,25.92,0.69,1.46,2.62,1.62,0.58,1.59,18252.0,1045.0,11505.8,12393.64,27.9,13281.43,29.9,14169.23,31.9,443898.0,70%,HARVESTED,2024-2025,1.0
D1,F1D01C12025.24,1.4375,02-10-2025,789855,55,29-10-2025,27,3.9,3.18,0.89,0.82,1.98,0.06,0.35,0.67,1489.0,555.0,2235.4,3641.39,5.2,5047.33,7.2,6453.28,9.2,702970.95,89%,ACTIVE,2025-2026,1.0
C13,F1C13C22025.23,1.5,26-02-2025,630500,42,05-06-2025,99,14.1,23.8,1.91,1.68,1.35,1.79,1.81,1.32,13670.0,1435.0,10354.1,11224.16,25.8,12094.25,27.8,12964.34,29.8,435045.0,69%,HARVESTED,2024-2025,2.0
C13,F1C13C12024.22,1.5,29-09-2024,634160,42,06-02-2025,130,18.6,20.94,0.57,1.13,0.9,0.7,0.97,1.94,19047.0,1012.0,9826.7,10765.25,22.9,11703.8,24.9,12642.36,26.9,469278.4,74%,HARVESTED,2024-2025,1.0
C13,F1C13C12025.24,1.4375,03-10-2025,789048,55,30-10-2025,27,3.9,4.12,2.17,1.07,1.64,0.06,0.29,0.5,1476.0,535.0,2925.8,4346.08,6.1,5766.36,8.1,7186.65,10.1,710143.2,90%,ACTIVE,2025-2026,1.0
C12,F1C12C22025.23,1.5,24-02-2025,630499,42,05-06-2025,101,14.4,22.74,1.41,1.58,1.72,1.0,1.97,1.34,13592.0,1250.0,10179.7,11074.97,24.7,11970.28,26.7,12865.59,28.7,447654.29,71%,HARVESTED,2024-2025,2.0
C12,F1C12C12024.22,1.5,01-10-2024,494315,33,09-01-2025,100,14.3,20.21,0.36,1.41,2.92,2.51,1.81,1.48,11265.0,1050.0,7592.5,8343.84,22.2,9095.2,24.2,9846.56,26.2,375679.4,76%,HARVESTED,2024-2025,1.0
C12,F1C12C12025.24,1.4375,03-10-2025,788396,55,30-10-2025,27,3.9,3.41,1.33,0.88,1.77,0.06,0.35,0.65,1652.0,740.0,2527.1,4009.3,5.4,5491.49,7.4,6973.67,9.4,741092.24,94%,ACTIVE,2025-2026,1.0
C11,F1C11C22025.23,1.5,24-02-2025,630499,42,05-06-2025,101,14.4,23.57,1.7,1.63,1.87,2.0,1.96,1.34,13919.0,1375.0,10402.6,11285.3,25.6,12168.0,27.6,13050.7,29.6,441349.3,70%,HARVESTED,2024-2025,2.0
C11,F1C11C12024.22,1.5,01-10-2024,495975,33,09-01-2025,100,14.3,21.15,0.87,1.48,2.38,2.53,1.85,1.49,11600.0,1400.0,7762.5,8496.54,23.1,9230.59,25.1,9964.63,27.1,367021.5,74%,HARVESTED,2024-2025,1.0
C11,F1C11C12025.24,1.4375,03-10-2025,788896,55,30-10-2025,27,3.9,3.29,1.43,0.85,1.55,0.06,0.35,0.71,1652.0,740.0,2335.9,3755.93,5.3,5175.95,7.3,6595.96,9.3,710006.4,90%,ACTIVE,2025-2026,1.0
C10,F1C10C22025.24,1.5,24-02-2025,628992,42,05-06-2025,101,14.4,24.31,1.39,1.68,1.67,2.6,2.01,1.25,14169.0,1450.0,11315.2,12246.1,26.3,13177.01,28.3,14107.91,30.3,465454.08,74%,HARVESTED,2024-2025,2.0
C10,F1C10C12024.23,1.5,01-10-2024,496805,33,16-01-2025,107,15.3,22.47,2.35,1.47,1.74,1.51,2.33,1.58,12358.0,1475.0,7814.3,8509.78,24.5,9205.3,26.5,9900.83,28.5,347763.5,70%,HARVESTED,2024-2025,1.0
C10,F1C10C12025.25,1.4375,03-10-2025,789120,55,30-10-2025,27,3.9,3.57,1.87,0.93,1.39,0.06,0.29,0.64,1652.0,740.0,2591.8,4043.77,5.6,5495.75,7.6,6947.73,9.6,725990.4,92%,ACTIVE,2025-2026,1.0
C9,F1C09C22025.23,1.5,24-02-2025,629136,42,05-06-2025,101,14.4,26.09,1.22,1.81,1.85,2.76,2.22,1.19,13669.0,1200.0,11489.9,12370.7,28.1,13251.49,30.1,14132.28,32.1,440395.2,70%,HARVESTED,2024-2025,2.0
C9,F1C09C12024.22,1.5,01-10-2024,496805,33,16-01-2025,107,15.3,20.83,1.27,1.36,1.3,1.6,3.03,1.7,12317.0,1625.0,7243.9,7939.44,22.8,8634.96,24.8,9330.49,26.8,347763.5,70%,HARVESTED,2024-2025,1.0
C9,F1C09C12025.24,1.4375,03-10-2025,787587,55,30-10-2025,27,3.9,4.12,1.94,1.07,1.87,0.06,0.29,0.57,1652.0,740.0,2920.4,4338.03,6.1,5755.68,8.1,7173.34,10.1,708828.3,90%,ACTIVE,2025-2026,1.0
C5,F1C05C22025.23,1.5,28-02-2025,630027,42,11-06-2025,103,14.7,22.4,1.1,1.52,1.2,2.1,1.38,1.41,12971.0,375.0,9173.2,9992.23,24.4,10811.26,26.4,11630.3,28.4,409517.55,65%,HARVESTED,2024-2025,2.0
C5,F1C05C12024.22,1.5,30-09-2024,634100,42,22-01-2025,114,16.3,22.81,0.72,1.40,0.51,1.23,1.73,1.75,16160.0,1701.0,9256.9,10068.5,24.8,10880.15,26.8,11691.79,28.8,405824.0,64%,HARVESTED,2024-2025,1.0
C5,F1C05C12025.24,1.4375,02-10-2025,789490,55,29-10-2025,27,3.9,3.31,1.39,0.86,1.61,0.06,0.35,0.61,1444.0,512.0,2351.9,3772.97,5.3,5194.05,7.3,6615.14,9.3,710541.0,90%,ACTIVE,2025-2026,1.0
C4,F1C04C22025.23,1.5,22-02-2025,627990,42,04-06-2025,102,14.6,23.89,1.2,1.64,2.56,0.95,2.16,1.29,13500.0,1200.0,10501.9,11381.07,25.9,12260.25,27.9,13139.44,29.9,439593.0,70%,HARVESTED,2024-2025,2.0
C4,F1C04C12024.22,1.5,30-09-2024,630240,42,15-01-2025,107,15.3,20.43,0.51,1.34,2.05,2.09,1.9,1.42,14078.0,1425.0,9914.4,10884.94,22.4,11855.51,24.4,12826.08,26.4,485284.8,77%,HARVESTED,2024-2025,1.0
C4,F1C04C12025.24,1.4375,02-10-2025,790982,55,29-10-2025,27,3.9,3.52,1.26,0.91,1.95,0.06,0.35,0.67,1710.0,740.0,2533.7,3973.26,5.5,5412.84,7.5,6852.43,9.5,719793.62,91%,ACTIVE,2025-2026,1.0
C3,F1C03C22025.23,1.5,22-02-2025,628518,42,04-06-2025,102,14.6,25.54,1.74,1.75,2.74,1.02,2.95,1.57,12630.0,1225.0,8026.2,8654.69,27.5,9283.21,29.5,9911.72,31.5,314259.0,50%,HARVESTED,2024-2025,2.0
C3,F1C03C12024.22,1.5,30-09-2024,633210,42,15-01-2025,107,15.3,20.41,0.74,1.34,1.04,3.66,1.04,1.42,14353.0,1475.0,10080.6,11068.39,22.4,12056.2,24.4,13044.0,26.4,493903.8,78%,HARVESTED,2024-2025,1.0
C3,F1C03C12025.24,1.4375,02-10-2025,790029,55,29-10-2025,27,3.9,3.58,1.28,0.93,1.99,0.06,0.35,0.66,1710.0,740.0,2602.0,4055.69,5.6,5509.35,7.6,6963.0,9.6,726826.68,92%,ACTIVE,2025-2026,1.0
C2,F1C02C22025.23,1.5,22-02-2025,630365,42,11-06-2025,109,15.6,22.1,0.91,1.42,2.03,1.13,2.96,1.59,14625.0,475.0,9194.5,10026.58,24.1,10858.66,26.1,11690.75,28.1,416040.9,66%,HARVESTED,2024-2025,2.0
C2,F1C02C12024.22,1.5,30-09-2024,633060,42,15-01-2025,107,15.3,20.46,0.46,1.34,1.35,2.33,2.41,1.49,14287.0,1475.0,9584.8,10521.71,22.5,11458.64,24.5,12395.57,26.5,468464.4,74%,HARVESTED,2024-2025,1.0
C2,F1C02C12025.24,1.4375,02-10-2025,787652,55,29-10-2025,27,3.9,3.3,1.01,0.86,1.98,0.06,0.35,0.73,1710.0,740.0,2339.3,3757.1,5.3,5174.88,7.3,6592.65,9.3,708886.8,90%,ACTIVE,2025-2026,1.0
C1,F1C01C22025.23,1.5,22-02-2025,629880,42,04-06-2025,102,14.6,27.83,2.81,1.91,2.03,2.79,2.64,1.64,13250.0,1200.0,8063.6,8643.09,29.8,9222.58,31.8,9802.07,33.8,289744.8,46%,HARVESTED,2024-2025,2.0
C1,F1C01C12024.22,1.5,30-09-2024,632281,42,22-01-2025,114,16.3,20.93,1.07,1.29,0.21,1.9,1.32,1.61,15382.0,1475.0,9528.2,10438.7,22.9,11349.19,24.9,12259.67,26.9,455242.32,72%,HARVESTED,2024-2025,1.0
C1,F1C01C12025.24,1.4375,02-10-2025,789948,55,29-10-2025,27,3.9,3.13,1.45,0.81,1.37,0.06,0.35,0.75,1710.0,740.0,2274.7,3728.23,5.1,5181.74,7.1,6635.24,9.1,726752.16,92%,ACTIVE,2025-2026,1.0
G1,F1G01C22025.23,3.0,25-03-2025,1048477,35,25-06-2025,92,13.1,18.71,2.89,1.42,1.31,1.2,0.89,1.45,17575.0,2170.0,12162.5,13462.65,20.7,14762.76,22.7,16062.87,24.7,650055.74,62%,HARVESTED,2024-2025,2.0
G1,F1G01C12024.22,3.0,31-10-2024,906900,30,26-02-2025,118,16.9,26.2,1.52,1.55,1.51,2.94,1.46,2.23,21157.0,2510.0,9504.3,10229.83,28.2,10955.35,30.2,11680.87,32.2,362760.0,40%,HARVESTED,2024-2025,1.0
G1,F1G01C12025.24,3.0,15-10-2025,1049883,35,29-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.55,797.0,330.0,312.4,2328.23,2.3,0.0,4.3,0.0,6.3,1007887.68,96%,ACTIVE,2025-2026,1.0
G16,F1G16C22025.23,3.0,26-03-2025,1050764,35,04-07-2025,100,14.3,19.82,1.21,1.39,0.92,0.63,1.87,1.36,15527.0,1404.0,11454.4,12610.22,21.8,13766.06,23.8,14921.9,25.8,577920.2,55%,HARVESTED,2024-2025,2.0
G16,F1G16C12024.22,3.0,02-11-2024,1005140,34,27-02-2025,117,16.7,21.83,1.58,1.31,1.5,2.28,1.72,2.53,24378.0,1643.0,9654.6,10539.09,23.8,11423.62,25.8,12308.14,27.8,442261.6,44%,HARVESTED,2024-2025,1.0
G16,F1G11C12025.24,3.0,16-10-2025,1048483,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.38,734.0,309.0,308.8,2300.9,2.3,0.0,4.3,0.0,6.3,996058.85,95%,ACTIVE,2025-2026,1.0
G15,F1G15C22025.23,3.0,26-03-2025,900262,30,05-06-2025,71,10.1,18.21,2.72,1.80,2.72,2.8,2.31,0.61,5769.0,1361.0,9508.4,10552.69,20.2,11597.0,22.2,12641.3,24.2,522151.96,58%,HARVESTED,2024-2025,2.0
G15,F1G15C12024.22,3.0,02-11-2024,1006425,34,27-02-2025,117,16.7,22.77,1.85,1.36,2.23,2.3,1.34,2.57,21779.0,1510.0,8479.0,9223.78,24.8,9968.54,26.8,10713.29,28.8,372377.25,37%,HARVESTED,2024-2025,1.0
G15,F1G15C12025.24,3.0,16-10-2025,1050068,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.35,734.0,309.0,312.5,2328.63,2.3,0.0,4.3,0.0,6.3,1008065.28,96%,ACTIVE,2025-2026,1.0
G14,F1G14C22025.23,3.0,04-04-2025,899848,30,10-07-2025,97,13.9,20.44,0.75,1.48,1.17,1.73,1.04,1.62,16355.0,1245.0,10116.1,11105.92,22.4,12095.76,24.4,13085.59,26.4,494916.4,55%,HARVESTED,2024-2025,2.0
G14,F1G14C12024.22,3.0,01-11-2024,903487,30,20-03-2025,139,19.9,30.99,0.99,1.56,1.45,2.13,1.92,1.66,22273.0,973.0,13439.5,14306.9,33.0,15174.25,35.0,16041.59,37.0,433673.76,48%,HARVESTED,2024-2025,1.0
G14,F1G14C12025.24,3.0,16-10-2025,1049888,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.35,734.0,309.0,312.4,2328.23,2.3,0.0,4.3,0.0,6.3,1007892.48,96%,ACTIVE,2025-2026,1.0
G13,F1G13C22025.23,3.0,25-03-2025,900581,30,25-06-2025,92,13.1,19.24,3.46,1.46,0.87,2.09,0.57,1.21,13601.0,1332.0,11262.7,12433.43,21.2,13604.18,23.2,14774.94,25.2,585377.65,65%,HARVESTED,2024-2025,2.0
G13,F1G13C12024.22,3.0,01-11-2024,902745,30,06-03-2025,125,17.9,25.63,1.55,1.44,1.93,1.37,2.29,2.12,22101.0,1289.0,10411.8,11224.28,27.6,12036.75,29.6,12849.22,31.6,406235.25,45%,HARVESTED,2024-2025,1.0
G13,F1G13C12025.24,3.0,16-10-2025,1050054,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.37,734.0,309.0,309.2,2304.34,2.3,0.0,4.3,0.0,6.3,997551.3,95%,ACTIVE,2025-2026,1.0
G12,F1G12C22025.23,3.0,04-04-2025,899950,30,12-06-2025,69,9.9,15.3,1.82,1.55,2.48,2.04,1.61,0.62,6776.0,1144.0,11015.4,12455.31,17.3,13895.23,19.3,15335.15,21.3,719960.0,80%,HARVESTED,2024-2025,2.0
G12,F1G12C12024.22,3.0,01-11-2024,906420,30,20-03-2025,139,19.9,29.06,0.47,1.46,1.68,1.76,1.7,2.3,23029.0,995.0,10009.4,10698.29,31.1,11387.17,33.1,12076.05,35.1,344439.6,38%,HARVESTED,2024-2025,1.0
G12,F1G12C12025.24,3.0,16-10-2025,1050056,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.35,734.0,309.0,312.5,2328.61,2.3,0.0,4.3,0.0,6.3,1008053.76,96%,ACTIVE,2025-2026,1.0
G11,F1G11C22025.23,3.0,03-04-2025,899925,30,19-06-2025,77,11.0,18.35,2.5,1.67,1.68,0.96,2.05,0.62,7561.0,1379.0,12220.1,13551.97,20.4,14883.86,22.4,16215.75,24.4,665944.5,74%,HARVESTED,2024-2025,2.0
G11,F1G11C12024.22,3.0,01-11-2024,901773,30,13-03-2025,132,18.9,28.35,1.52,1.50,1.85,1.77,1.53,1.99,22434.0,1000.0,11248.7,12042.28,30.4,12835.84,32.4,13629.4,34.4,396780.12,44%,HARVESTED,2024-2025,1.0
G11,F1G11C12025.24,3.0,16-10-2025,1049719,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.4,734.0,309.0,305.9,2279.36,2.3,0.0,4.3,0.0,6.3,986735.86,94%,ACTIVE,2025-2026,1.0
G10,F1G10C22025.24,3.0,03-04-2025,898255,30,12-06-2025,70,10.0,17.86,2.08,1.79,3.01,2.56,1.05,0.55,6403.0,1520.0,11711.3,13022.72,19.9,14334.17,21.9,15645.63,23.9,655726.15,73%,HARVESTED,2024-2025,2.0
G10,F1G10C12024.23,3.0,31-10-2024,901556,30,27-03-2025,147,21.0,29.13,0.29,1.39,1.33,1.96,1.82,2.45,22528.0,300.0,9191.8,9822.9,31.1,10453.99,33.1,11085.08,35.1,315544.6,35%,HARVESTED,2024-2025,1.0
G10,F1G10C12025.25,3.0,16-10-2025,1048286,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.4,734.0,309.0,305.5,2276.25,2.3,0.0,4.3,0.0,6.3,985388.84,94%,ACTIVE,2025-2026,1.0
G9,F1G09C22025.23,3.0,03-04-2025,899294,30,26-06-2025,84,12.0,19.5,2.0,1.63,2.01,0.89,2.86,1.17,13300.0,1346.0,10521.7,11690.82,21.5,12859.9,23.5,14028.99,25.5,584541.1,60%,HARVESTED,2024-2025,2.0
G9,F1G09C12024.22,3.0,31-10-2024,900721,30,20-03-2025,140,20.0,30.63,1.74,1.53,0.57,2.16,1.96,2.12,20467.0,604.0,9656.2,10286.68,32.6,10917.19,34.6,11547.69,36.6,315252.35,35%,HARVESTED,2024-2025,1.0
G9,F1G09C12025.24,3.0,16-10-2025,1049886,35,30-10-2025,14,2.0,0.31,0.06,0.15,0.29,0.0,0.0,2.4,734.0,309.0,305.9,2279.73,2.3,0.0,4.3,0.0,6.3,986892.84,94%,ACTIVE,2025-2026,1.0
